rad_scale,transport_scale,storage_scale,mode,manageable_failure,manageable_CVaR95,manageable_unsafe,manageable_Y,manageable_Tc95,frontier_failure,frontier_CVaR95,frontier_unsafe,frontier_Y,frontier_Tc95,harsh_failure,harsh_CVaR95,harsh_unsafe,harsh_Y,harsh_Tc95
1.0,3.0,1.0,pump_radiator,1.0,111.14196431465926,0.9555357142857144,1.0000000000000162,3.090912288698133,1.0,188.82729979383925,0.9614583333333333,1.0000000000000162,4.135337241910546,1.0,329.3721600238532,0.9663541666666666,1.0000000000000162,5.202345827180495
1.0,3.0,1.0,radiator_only,1.0,611.3680692230091,0.9709970238095238,1.0000000000000162,6.067335285147647,1.0,932.0469038946402,0.97375,1.0000000000000162,7.799724183273859,1.0,1394.8371218382501,0.9764583333333333,1.0000000000000162,9.661204303703348
1.0,3.0,2.0,a10_hybrid,1.0,19.691314532018318,0.934404761904762,0.6792290472822342,2.0104789865349924,1.0,55.72282381154472,0.9535416666666667,0.6324819172054925,2.941490464372838,1.0,84.75163623435071,0.9590624999999999,0.5914403850363055,3.323739635512224
1.0,3.0,2.0,load_throttle,1.0,240.49954945568243,0.9666815476190475,0.5615412024403625,4.3990901883761016,1.0,491.3101223092745,0.9715625,0.5599861877604806,5.9521797455770535,1.0,788.0982797865646,0.974375,0.5590647259418066,7.364573921567071
1.0,3.0,2.0,no_control,1.0,884.9693549693666,0.9719345238095238,1.0000000000000162,7.163507082458794,1.0,1126.1476495316244,0.9744791666666666,1.0000000000000162,8.408234608921173,1.0,2302.7526788468017,0.9757291666666668,1.0000000000000162,11.244632229280429
1.0,3.0,2.0,pump_only,1.0,175.0653036372212,0.9541964285714285,1.0000000000000162,3.5338743164902087,1.0,297.741699233772,0.9618749999999999,1.0000000000000162,4.69199942992057,1.0,463.0107938615226,0.9660416666666667,1.0000000000000162,5.651755163651996
1.0,3.0,2.0,pump_radiator,1.0,107.83571712459018,0.9552678571428571,1.0000000000000162,3.0693271478335573,1.0,210.93968673275072,0.9647916666666667,1.0000000000000162,4.3314787530506305,1.0,352.1976063249491,0.9667708333333334,1.0000000000000162,5.218516080624058
1.0,3.0,2.0,radiator_only,1.0,568.0806368291572,0.9707738095238095,1.0000000000000162,5.953034568233093,1.0,987.9029166892848,0.9736458333333333,1.0000000000000162,7.900059680586989,1.0,1483.9082361472165,0.9758333333333333,1.0000000000000162,9.722154342547988
1.0,4.0,1.0,a10_hybrid,1.0,21.26332888229962,0.931919642857143,0.7565042478626702,1.9942559730635683,1.0,46.80625217220287,0.9403125,0.7327742120049929,2.7868773346636435,1.0,71.77821809022672,0.9508333333333333,0.6881299404686161,3.2434773654476587
1.0,4.0,1.0,load_throttle,1.0,149.897822458982,0.9648214285714286,0.5619344440337829,3.7136732469663776,1.0,254.18037264756498,0.9679166666666666,0.5610176641713854,4.820146267822033,1.0,447.3751353788988,0.9710416666666667,0.5600321740810712,6.198335354620362
1.0,4.0,1.0,no_control,1.0,491.5167086804953,0.9698958333333333,1.0000000000000162,5.695462126572967,1.0,1134.60286280687,0.9735416666666667,1.0000000000000162,8.211534232731584,1.0,1311.3383372723358,0.9765625,1.0000000000000162,9.434089930393304
1.0,4.0,1.0,pump_only,1.0,124.45432672701588,0.9505952380952382,1.0000000000000162,3.1008915268962376,1.0,188.37315298450446,0.9567708333333333,1.0000000000000162,4.001424187860734,1.0,364.6567280146529,0.9641666666666666,1.0000000000000162,5.147528320082685
1.0,4.0,1.0,pump_radiator,1.0,75.06077865543742,0.9508184523809524,1.0000000000000162,2.700749343805776,1.0,129.9697769268533,0.9545833333333333,1.0000000000000162,3.567863802934517,1.0,210.81777386404673,0.9617708333333332,1.0000000000000162,4.370567426035408
1.0,4.0,1.0,radiator_only,1.0,324.52337001946796,0.9683333333333334,1.0000000000000162,4.840177191241189,1.0,544.9245168459213,0.9710416666666667,1.0000000000000162,6.559062168365688,1.0,865.0303294518176,0.9744791666666667,1.0000000000000162,8.185517566521822
1.0,4.0,2.0,a10_hybrid,1.0,14.123573007783376,0.9244642857142856,0.6860754071047769,1.8270074906301093,1.0,23.451638852541695,0.9375,0.6624918093131222,2.2123706010846242,1.0,52.58821229576669,0.9517708333333333,0.61833849630232,2.8141303878476105
1.0,4.0,2.0,load_throttle,1.0,154.07879156826013,0.9652678571428571,0.5618039644688132,3.7671724511712195,1.0,216.14773989225606,0.9672916666666667,0.5612018839923778,4.635167679191274,1.0,367.75320209338366,0.9716666666666667,0.5598639067311804,5.776179652161018
