rad_scale,transport_scale,storage_scale,mode,manageable_failure,manageable_throughput_failure,manageable_CVaR95,manageable_unsafe,manageable_Y,manageable_Tc95,frontier_failure,frontier_CVaR95,frontier_unsafe,frontier_Y,frontier_Tc95,harsh_failure,harsh_CVaR95,harsh_unsafe,harsh_Y,harsh_Tc95
1.0,12.0,1.0,no_control,1.0,0.0,88.78130317364734,0.9601785714285713,1.0000000000000162,3.0527905663843264,1.0,128.6764013500715,0.96375,1.0000000000000162,3.8998047141601595,1.0,226.84324210514734,0.9658333333333333,1.0000000000000162,4.948715589881364
1.0,12.0,1.0,pump_radiator,1.0,0.0,20.502438068850125,0.9333928571428574,1.0000000000000162,1.7841956703706392,1.0,35.58346414054,0.9420833333333334,1.0000000000000162,2.208545104135195,1.0,67.86688677757618,0.9491666666666666,1.0000000000000162,2.7592594701669397
1.0,12.0,2.0,a10_hybrid,1.0,1.0,5.396125008909394,0.9087500000000001,0.7050320005035277,1.4086567343134708,1.0,10.646161629740723,0.9235416666666667,0.6797394326805272,1.6843545819108767,1.0,20.580809355831168,0.931875,0.648415136073079,1.9137105642032934
1.0,12.0,2.0,a10_hybrid_v2,1.0,0.10714285714285714,6.130888901150884,0.9113988095238094,0.8416631643060183,1.4202853986455466,1.0,15.614751212335152,0.9270833333333333,0.8212628828183448,1.7856435050731085,1.0,30.219944243890488,0.936875,0.7936642558569384,2.0701418901528306
1.0,12.0,2.0,no_control,1.0,0.0,73.51810768643966,0.956875,1.0000000000000162,2.8741770428093303,1.0,127.01510039182581,0.9608333333333333,1.0000000000000162,3.8780932789596294,1.0,237.3047428598894,0.9683333333333333,1.0000000000000162,4.990710969643888
1.0,12.0,2.0,pump_radiator,1.0,0.0,20.181024020397064,0.9311011904761904,1.0000000000000162,1.775304572220511,1.0,31.450577896334973,0.9391666666666667,1.0000000000000162,2.193679976584616,1.0,61.25384783572359,0.9495833333333334,1.0000000000000162,2.649569302434861
1.0,12.0,4.0,a10_hybrid,1.0,1.0,3.5764873709678247,0.8570238095238095,0.6403030561467375,1.3232167223043727,1.0,9.929873504430144,0.9143749999999999,0.6145827755739738,1.6414762893574872,1.0,18.194409593570338,0.9289583333333334,0.5912563000858224,1.8331800019370674
1.0,12.0,4.0,a10_hybrid_v2,1.0,0.9642857142857143,6.508308219234512,0.8991666666666667,0.7859938676131148,1.4299047357674914,1.0,11.890316698207915,0.9197916666666667,0.7726124527250151,1.704957267312936,1.0,33.62783880769622,0.9356249999999999,0.7518918988768878,2.101463237402848
1.0,12.0,4.0,no_control,1.0,0.0,89.73690270686929,0.959642857142857,1.0000000000000162,3.0677369135880315,1.0,173.61829157751268,0.9650000000000001,1.0000000000000162,4.243161456279408,1.0,203.75208604341776,0.9683333333333333,1.0000000000000162,4.695846804023487
1.0,12.0,4.0,pump_radiator,1.0,0.0,17.909348095672705,0.9310119047619047,1.0000000000000162,1.733185796125074,1.0,33.8750511380664,0.94,1.0000000000000162,2.2215315958856143,1.0,57.364191809845224,0.9489583333333333,1.0000000000000162,2.579060266850835
2.0,2.0,1.0,a10_hybrid,1.0,1.0,50.49273605821025,0.9546130952380951,0.7056371652966424,2.707737025758571,1.0,104.56477695018067,0.9639583333333333,0.6698581650585899,3.704395726869376,1.0,223.14992799982292,0.96625,0.6352823743032441,4.831911710539308
2.0,2.0,1.0,a10_hybrid_v2,1.0,0.10714285714285714,38.46226950936256,0.953422619047619,0.842661640777906,2.478256394372925,1.0,71.48232162814112,0.9625,0.819813651058192,3.2860023951064363,1.0,166.42477567200316,0.9679166666666668,0.7915934924520228,4.396196091402798
